"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"nij.gov","nij.gov","https://nij.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"niosh.gov","niosh.gov","http://www.niosh.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"nist.gov","nist.gov","https://www.nist.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nitrd.gov","nitrd.gov","https://nitrd.gov","Networking Information Technology Research and Development","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"nixonlibrary.gov","nixonlibrary.gov","https://www.nixonlibrary.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nlm.gov","nlm.gov","https://nlm.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nlrb.gov","nlrb.gov","https://nlrb.gov","National Labor Relations Board","dotgov","No","Yes","No","Yes","No","No","No","No","Yes"
"nls.gov","nls.gov","https://nls.gov","Department of Housing and Urban Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nmb.gov","nmb.gov","https://nmb.gov","National Mediation Board","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"nmsc.gov","nmsc.gov","http://nmsc.gov","Department of Homeland Security","dotgov","","","","","","","","","No"
"nmvtis.gov","nmvtis.gov","https://nmvtis.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nnlm.gov","nnlm.gov","https://nnlm.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nnss.gov","nnss.gov","http://www.nnss.gov","National Nuclear Security Administration","dotgov","No","No","No","No","Yes","No","No","No","No"
"noaa.gov","noaa.gov","https://www.noaa.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nps.gov","nps.gov","https://www.nps.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nrc-gateway.gov","nrc-gateway.gov","https://www.nrc-gateway.gov","Nuclear Regulatory Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nrc.gov","nrc.gov","https://www.nrc.gov","Nuclear Regulatory Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nrd.gov","nrd.gov","https://nrd.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nrel.gov","nrel.gov","https://www.nrel.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nrelhub.gov","nrelhub.gov","http://nrelhub.gov","Department of Energy","dotgov","","","","","","","","","No"
"nro.gov","nro.gov","https://www.nro.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nsa.gov","nsa.gov","https://www.nsa.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nscai.gov","nscai.gov","https://www.nscai.gov","National Security Commission on Artificial Intelligence","dotgov","No","Yes","No","No","Yes","No","No","No","Yes"
"nsep.gov","nsep.gov","https://nsep.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nsf.gov","nsf.gov","https://nsf.gov","National Science Foundation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nsopr.gov","nsopr.gov","https://nsopr.gov","Department of Justice","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"nsopw.gov","nsopw.gov","https://www.nsopw.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ntia.gov","ntia.gov","https://www.ntia.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ntis.gov","ntis.gov","https://www.ntis.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ntrc.gov","ntrc.gov","https://www.ntrc.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ntsb.gov","ntsb.gov","https://ntsb.gov","National Transportation Safety Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nutrition.gov","nutrition.gov","https://www.nutrition.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nvtc.gov","nvtc.gov","https://nvtc.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nwbc.gov","nwbc.gov","https://www.nwbc.gov","Small Business Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"nwcg.gov","nwcg.gov","https://www.nwcg.gov","U.S. Department of Agriculture","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"nwtrb.gov","nwtrb.gov","https://www.nwtrb.gov","U.S. Nuclear Waste Technical Review Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"obamalibrary.gov","obamalibrary.gov","https://www.obamalibrary.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"obamawhitehouse.gov","obamawhitehouse.gov","https://obamawhitehouse.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"occ.gov","occ.gov","https://occ.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"occhelps.gov","occhelps.gov","https://occhelps.gov","Department of the Treasury","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"odni.gov","odni.gov","https://www.odni.gov","Director of National Intelligence","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"oea.gov","oea.gov","http://oea.gov","Department of Defense","dotgov","No","No","No","Yes","No","No","No","No","No"
"ofcm.gov","ofcm.gov","https://www.ofcm.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ofda.gov","ofda.gov","https://ofda.gov","U.S. Agency for International Development","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"oge.gov","oge.gov","https://oge.gov","Office of Government Ethics","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ojjdp.gov","ojjdp.gov","https://www.ojjdp.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ojp.gov","ojp.gov","https://ojp.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"omb.gov","omb.gov","https://omb.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ondcp.gov","ondcp.gov","https://ondcp.gov","Executive Office of the President","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"onguardonline.gov","onguardonline.gov","https://www.onguardonline.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"onhir.gov","onhir.gov","https://onhir.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"onrr.gov","onrr.gov","https://www.onrr.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"openinternet.gov","openinternet.gov","http://openinternet.gov","Federal Communications Commission","dotgov","No","No","No","","","","","","No"
"opensource.gov","opensource.gov","https://opensource.gov","Central Intelligence Agency","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"opic.gov","opic.gov","https://www.opic.gov","Overseas Private Investment Corporation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"opioids.gov","opioids.gov","https://www.opioids.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"opm.gov","opm.gov","https://www.opm.gov","Office of Personnel Management","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"opportunityzones.gov","opportunityzones.gov","http://opportunityzones.gov","Department of Housing and Urban Development","dotgov","No","No","No","","","","","","No"
"orau.gov","orau.gov","https://orau.gov","Department of Energy","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"organdonor.gov","organdonor.gov","https://www.organdonor.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
